Project Reference,Academic Year,Mobility Start Month,Mobility End Month,Mobility Duration,Activity (mob),Field of Education,Participant Nationality,Education Level,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending Country Code,Sending City,Sending Organization,Sending Organisation Erasmus Code,Receiving Country Code,Receiving City,Receiving Organization,Receiving Organisation Erasmus Code,Participants
2018-1-SI01-KA101-046846,2019-2020,2019-10,2019-10,11.0,Training/teaching assignments abroad,Training for pre-school teachers,SI,??? - ? Unknown ?,Female,Staff,No,No,No,37,SI,Maribor,Vrtec Jadvige Golez,-,AT,WIEN,VEREIN ZUR FORDERUNG DES INTERNATIONALEN AUSTAUSCHES VON LEHRLINGEN JUNGEN FACHKRAFTEN UND AUSBILDERN DER WIRTSCHAFT IFA INTERNATIONALER FACHKRAFTEAUSTAUSH,-,1.0
2017-3-RO01-KA105-046928,2018-2019,2018-05,2018-05,8.0,Youth Exchanges - Programme Countries,? Unknown ?,PL,??? - ? Unknown ?,Female,Learner,No,No,No,26,CY,Nicosia,"PlanBe, Plan it Be it",-,RO,SARATA MONTEORU,ASOCIATIA HAIR REDIVIVUS BUZAU,-,1.0
2018-1-RO01-KA105-048887,2018-2019,2018-10,2018-10,9.0,Mobility of youth workers - Programme Countries,? Unknown ?,RO,??? - ? Unknown ?,Female,Staff,No,No,No,23,IT,Rimini,Associazione di Promozione Sociale Passepartout.up,-,RO,Horezu,"Asociatia ""Centrul pentru Dezvoltarea Instrumentelor Structurale""",-,1.0
2017-1-PL01-KA103-035814,2018-2019,2018-01,2018-05,131.0,Student mobility for studies between Programme Countries,Literature and linguistics,PL,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,21,PL,POZNAN,UNIWERSYTET IM. ADAMA MICKIEWICZA W POZNANIU,PL POZNAN01,FR,RENNES CEDEX,UNIVERSITE RENNES II,F  RENNES02,1.0
2017-1-NL01-KA103-034947,2018-2019,2018-01,2018-06,145.0,Student mobility for studies between Programme Countries,"Engineering and engineering trades, not further defined",NL,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,22,NL,Tilburg,STICHTING AVANS,NL BREDA01,BE,don't know,KAREL DE GROTE HOGESCHOOL KATHOLIEKE HOGESCHOOL ANTWERPEN,B  ANTWERP59,1.0
2014-1-ES01-KA103-001563,2015-2016,2015-06,2015-06,5.0,Staff mobility for training between Programme Countries,? Unknown ?,ES,??? - ? Unknown ?,Female,Staff,No,No,No,-,ES,Murcia,UNIVERSIDAD DE MURCIA,E  MURCIA01,FR,MURCIA,UNIVERSITE RENNES II,F  RENNES02,1.0
2016-1-BG01-KA101-023378,2016-2017,2016-10,2016-10,9.0,Structured Courses/Training Events,Education,BG,??? - ? Unknown ?,Male,Staff,No,No,No,43,BG,�����,REGIONALNO UPRAVLENIE NA OBRAZOVANIETO SOFIA GRAD,-,FI,Helsinki,ITC International TEFL Certificate s.r.o.,-,1.0
2018-1-IT02-KA103-047254,2018-2019,2018-09,2019-01,150.0,Student mobility for studies between Programme Countries,Electronics and automation,IT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,23,IT,TORINO,POLITECNICO DI TORINO,I  TORINO02,FR,PARIS,UNIVERSITE PARIS DIDEROT - PARIS 7,F  PARIS007,1.0
2016-1-PT01-KA103-022364,2016-2017,2016-09,2017-02,149.0,Student mobility for studies between Programme Countries,"Information and Communication Technologies (ICTs), not further defined",PT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,20,PT,LISBOA,UNIVERSIDADE NOVA DE LISBOA,P  LISBOA03,SK,BRATISLAVA,UNIVERZITA KOMENSKEHO V BRATISLAVE,SK BRATISL02,1.0
2015-1-PT01-KA101-012478,2016-2017,2016-09,2016-09,12.0,Job Shadowing,Education,PT,??? - ? Unknown ?,Female,Staff,No,No,No,44,PT,Fornos de Algodres,Agrupamento de Escolas de Fornos de Algodres,-,UK,London,Arbour Vale School,-,1.0
